date,description,amount,reference,account
2024-01-02,CLIENT RETAINER - JOHNSON MFG,5000.00,RET-2024-001,Operating Account
2024-01-03,ADP PAYROLL SERVICES,−8450.00,PAY-001,Operating Account
2024-01-03,ADP PAYROLL TAX DEPOSIT,−1856.00,PAY-001,Operating Account
2024-01-04,THOMSON REUTERS CHECKPOINT,−425.00,,Firm Credit Card
2024-01-05,AICPA MEMBERSHIP DUES,−495.00,,Firm Credit Card
2024-01-08,CCH AXCESS TAX SOFTWARE,−1200.00,,Operating Account
2024-01-09,CLIENT PMT - TAX PREP SMITH,850.00,INV-4521,Operating Account
2024-01-10,OFFICE DEPOT SUPPLIES,−234.56,,Firm Credit Card
2024-01-10,QUICKBOOKS ONLINE ACCOUNTANT,−0.00,,Firm Credit Card
2024-01-12,CAMICO E&O INSURANCE,−2400.00,,Operating Account
2024-01-15,BUILDING RENT - JANUARY,−4500.00,CHK-1001,Operating Account
2024-01-15,ADP PAYROLL SERVICES,−8450.00,PAY-002,Operating Account
2024-01-15,ADP PAYROLL TAX DEPOSIT,−1856.00,PAY-002,Operating Account
2024-01-16,BECKER CPA REVIEW - CPE,−299.00,,Firm Credit Card
2024-01-17,CLIENT PMT - BOOKKEEPING ACME,1200.00,INV-4523,Operating Account
2024-01-18,JETBLUE AIRWAYS,−342.00,,Firm Credit Card
2024-01-18,HILTON HOTELS,−198.00,,Firm Credit Card
2024-01-19,STATE CPA SOCIETY CONF,−450.00,,Firm Credit Card
2024-01-22,XERO PARTNER SUBSCRIPTION,−0.00,,Firm Credit Card
2024-01-22,CLIENT RETAINER - APEX CORP,7500.00,RET-2024-002,Operating Account
2024-01-23,DEXT (RECEIPT BANK),−50.00,,Firm Credit Card
2024-01-24,KARBON WORKFLOW SOFTWARE,−99.00,,Firm Credit Card
2024-01-25,VERIZON BUSINESS,−245.00,,Operating Account
2024-01-26,LACERTE TAX SOFTWARE,−3200.00,,Operating Account
2024-01-29,ADP PAYROLL SERVICES,−8450.00,PAY-003,Operating Account
2024-01-29,ADP PAYROLL TAX DEPOSIT,−1856.00,PAY-003,Operating Account
2024-01-30,CLIO PAYMENTS - CLIENT TRUST,2340.00,CLIO-992,Trust Account
2024-01-31,BANK ANALYSIS FEE,−35.00,,Operating Account
2024-02-01,INTEREST - TRUST ACCOUNT,8.92,,Trust Account
2024-02-02,CLIENT PMT - 1040 PREP DAVIS,425.00,INV-4530,Operating Account
2024-02-05,CALENDLY SCHEDULING,−16.00,,Firm Credit Card
2024-02-05,CANVA DESIGN,−12.99,,Firm Credit Card
2024-02-06,WOLTERS KLUWER CCH,−650.00,,Operating Account
2024-02-07,CLIENT ADVISORY FEE - TECH STARTUP,3500.00,INV-4532,Operating Account
2024-02-08,ZOOM VIDEO COMMUNICATIONS,−199.90,,Firm Credit Card
2024-02-09,MICROSOFT 365 BUSINESS,−264.00,,Firm Credit Card
2024-02-12,SAFESEND RETURNS,−75.00,,Firm Credit Card
2024-02-12,ADP PAYROLL SERVICES,−8450.00,PAY-004,Operating Account
2024-02-12,ADP PAYROLL TAX DEPOSIT,−1856.00,PAY-004,Operating Account
2024-02-14,CLIENT PMT - MONTHLY BOOKS,950.00,INV-4535,Operating Account
2024-02-15,BUILDING RENT - FEBRUARY,−4500.00,CHK-1002,Operating Account
2024-02-16,SHAREFILE CITRIX,−55.00,,Firm Credit Card
2024-02-19,CPE WEBINAR - TAX UPDATE,−79.00,,Firm Credit Card
2024-02-20,UBER TRIP CLIENT MEETING,−24.50,,Firm Credit Card
2024-02-21,PRACTICE CS SOFTWARE,−185.00,,Firm Credit Card
2024-02-22,UNKNOWN VENDOR 9X7Y2,−125.00,,Firm Credit Card
2024-02-23,REFUND - OVERPAYMENT CLIENT,−500.00,REF-001,Operating Account
2024-02-26,ADP PAYROLL SERVICES,−8450.00,PAY-005,Operating Account
2024-02-26,ADP PAYROLL TAX DEPOSIT,−1856.00,PAY-005,Operating Account
2024-02-28,CLIENT RETAINER - SMITH HOLDINGS,4000.00,RET-2024-003,Operating Account
2024-02-29,INTUIT PROCONNECT TAX,−89.00,,Firm Credit Card
